connection_date,user_id,start_hour,start_minute,end_hour,end_minute
20171028,99982,8,51,9,18
20171028,100526,20,4,20,45
20171028,100564,14,20,14,25
20171028,101647,17,35,17,43
20171028,101851,11,54,12,52
20171028,101920,9,11,9,35
20171028,102142,13,46,13,58
20171028,102458,8,50,8,54
20171028,102904,0,56,1,1
20171028,102913,7,20,7,33
20171028,103199,9,5,9,28
20171028,103479,19,50,20,41
20171028,103800,12,30,12,37
20171028,105134,8,55,9,9
20171028,105642,6,19,6,40
20171028,105790,0,28,0,33
20171028,105852,9,9,9,29
20171028,106181,10,12,10,31
20171028,106601,0,19,0,46
20171028,106605,14,30,14,50
20171028,107051,10,12,10,17
20171028,107304,8,43,9,18
20171028,107365,10,13,10,18
20171028,107552,16,7,16,19
20171028,108756,15,53,16,8
20171028,109009,6,57,7,40
20171028,109728,6,37,7,35
20171028,109754,7,41,7,43
20171028,110010,11,25,12,7
20171028,110025,8,30,9,12
20171028,110119,7,33,8,13
20171028,110446,8,58,9,9
20171028,111349,14,23,14,47
20171028,111770,11,12,11,54
20171028,111975,11,19,11,45
20171028,112479,13,33,13,56
20171028,113075,11,57,12,6
20171028,114394,23,48,23,53
20171028,114928,8,17,8,24
20171028,115480,10,50,11,31
20171028,115616,9,29,9,36
20171028,115658,9,5,9,20
20171028,116306,9,10,9,47
20171028,117063,15,14,15,17
20171028,117121,8,31,8,59
20171028,118000,10,30,11,2
20171028,118319,10,6,10,46
20171028,118406,9,4,9,9
20171028,118999,15,26,15,33
20171028,119222,9,20,9,30
20171028,119257,14,33,14,46
20171028,119453,19,44,19,49
20171028,119955,8,57,9,19
20171028,120171,9,54,10,10
20171028,120391,9,10,10,33
20171028,120831,21,12,21,21
20171028,121573,8,11,8,20
20171028,122603,17,14,17,25
20171028,123292,18,8,18,31
20171028,123791,10,45,11,13
20171028,124024,21,46,21,54
20171028,124031,22,57,23,2
20171028,124041,8,23,8,47
20171028,124196,9,0,9,33
20171028,125177,16,25,16,29
20171028,125486,13,6,13,36
20171028,125518,10,15,10,18
20171028,126084,18,19,18,31
20171028,126225,10,40,10,47
20171028,126630,14,0,14,6
20171028,127004,8,34,8,52
20171028,127163,9,50,9,59
20171028,127485,19,55,20,5
20171028,127584,10,45,10,52
20171028,127736,13,47,14,10
20171028,129329,6,50,7,3
20171028,129779,9,9,9,18
20171028,129904,7,41,7,50
20171028,130542,7,14,7,19
20171028,131241,17,37,17,40
20171028,131660,18,38,18,43
20171028,132038,10,11,10,40
20171028,132117,21,25,21,30
20171028,132908,13,49,14,11
20171028,133340,8,15,8,21
20171028,134647,11,44,11,49
20171028,134994,11,36,11,53
20171028,135192,16,51,17,3
20171028,135503,13,14,13,54
20171028,135673,18,13,18,22
20171028,136925,13,31,13,42
20171028,139206,13,40,13,45
20171028,139899,10,20,10,31
20171028,140791,11,51,11,56
20171028,141167,7,28,7,29
20171028,141525,10,0,10,50
20171028,142477,15,15,15,24
20171028,143088,8,3,8,46
20171028,143103,13,39,13,41
20171028,143429,12,59,13,6
20171028,143554,14,23,14,29
20171028,145434,21,44,21,55
20171028,145948,18,19,18,29
20171028,146285,7,55,8,0
20171028,146702,9,21,9,33
20171028,146712,10,47,11,10
20171028,147172,17,47,18,0
20171028,147267,21,27,21,30
20171028,147304,10,34,10,43
20171028,147327,8,47,8,53
20171028,148359,10,3,10,41
20171028,148890,17,41,18,1
20171028,150040,8,10,8,26
20171028,150668,11,38,11,45
20171028,150941,19,50,19,54
20171028,150963,18,30,18,36
20171028,151045,15,42,15,52
20171028,151290,11,59,12,1
20171028,151577,11,10,11,29
20171028,153427,14,26,14,32
20171028,153515,12,5,12,9
20171028,153523,11,8,11,47
20171028,153791,8,39,8,46
20171028,154350,8,46,8,55
20171028,154410,8,4,8,15
20171028,155369,17,49,17,54
20171028,156006,9,7,9,24
20171028,156067,9,0,9,27
20171028,156258,17,41,18,26
20171028,156958,9,13,9,23
20171028,158035,7,31,8,0
20171028,158300,8,13,8,45
20171028,158860,9,44,9,52
20171028,158995,10,56,11,26
20171028,159107,7,29,7,37
20171028,159328,15,1,15,11
20171028,161082,8,1,8,5
20171028,162625,8,53,8,58
20171028,163048,7,0,7,8
20171028,163312,11,5,11,14
20171028,164248,6,32,6,42
20171028,164629,9,57,10,14
20171028,168881,9,19,9,54
20171028,168931,15,48,15,53
20171028,169064,7,40,7,44
20171028,170079,11,15,11,24
20171028,170485,9,0,11,5
20171028,170737,8,58,9,36
20171028,173521,9,6,9,15
20171028,174491,15,2,15,5
20171028,174767,10,15,10,39
20171028,175517,9,5,9,41
20171028,176967,13,36,13,45
20171028,177430,10,17,10,34
20171028,177512,12,12,12,20
20171028,177560,8,59,9,40
20171028,178982,7,37,7,41
20171028,180767,11,57,13,3
20171028,180809,9,38,10,20
20171028,181770,14,1,14,10
20171028,181784,11,29,12,0
20171028,183198,13,29,13,38
20171028,183517,9,40,10,9
20171028,183575,8,33,8,56
20171028,183917,9,45,9,49
20171028,184178,14,28,15,16
20171028,184406,6,48,7,3
20171028,185003,8,40,9,28
20171028,185492,9,3,9,12
20171028,186135,22,47,22,54
20171028,186227,9,15,9,24
20171028,186939,15,56,16,4
20171028,187204,6,41,7,18
20171028,188651,10,36,10,40
20171028,188724,7,55,8,0
20171028,189235,7,56,8,7
20171028,189438,18,59,19,27
20171028,190077,11,23,11,39
20171028,190448,16,28,16,57
20171028,194402,0,32,0,35
20171028,195931,5,47,5,57
20171028,196462,6,55,7,1
20171028,197138,14,6,14,14
20171028,197438,9,57,10,39
20171028,198805,18,56,19,6
20171028,199992,10,35,10,41
20171028,200191,18,25,19,11
20171028,205311,17,17,17,20
20171028,205538,11,42,13,1
20171028,206576,10,18,10,35
20171028,207155,12,56,12,59
20171028,208144,0,59,1,5
20171028,208364,9,6,9,16
20171028,209986,16,4,16,12
20171028,210617,11,12,11,22
20171028,212661,16,7,16,16
20171028,214670,19,24,19,33
20171028,215331,7,33,7,37
20171028,216481,8,59,9,15
20171028,218817,16,51,16,56
20171028,219154,12,38,13,2
20171028,220246,9,1,9,13
20171028,221626,14,44,14,52
20171028,224075,13,29,14,56
20171028,225359,11,5,11,10
20171028,226996,15,41,16,34
20171028,229597,19,30,20,0
20171028,230303,9,31,9,41
20171028,230874,9,40,9,49
20171028,230938,9,37,9,40
20171028,231239,10,2,12,34
20171028,231244,19,40,19,44
20171028,231884,17,8,17,14
20171028,232718,7,8,7,15
20171028,235490,10,55,11,0
20171028,235758,9,3,10,5
20171028,235855,9,37,9,41
20171028,237253,13,26,13,33
20171028,238261,14,16,14,31
20171028,239128,16,36,16,54
20171028,239232,17,31,18,19
20171028,239763,0,33,0,43
20171028,239969,8,48,9,16
20171028,240150,9,45,9,50
20171028,240484,11,3,11,11
20171028,241913,9,48,9,50
20171028,242697,11,27,11,48
20171028,244053,7,47,7,57
20171028,244353,19,12,20,11
20171028,245345,10,11,10,17
20171028,247164,8,49,8,59
20171028,248129,10,7,10,32
20171028,249682,10,9,10,24
20171028,251072,9,49,9,53
20171028,251342,7,23,7,31
20171028,251521,12,3,12,10
20171028,252137,19,57,20,4
20171028,253018,21,58,22,25
20171028,253478,16,39,16,56
20171028,253673,6,56,7,2
20171028,254392,8,7,8,29
20171028,254906,12,36,12,40
20171028,255461,4,49,4,55
20171028,258062,18,45,18,56
20171028,258984,13,14,13,25
20171028,259282,13,55,14,5
20171028,259484,6,34,8,2
20171028,259859,8,16,8,50
20171028,260223,7,44,8,9
20171028,261618,7,31,7,35
20171028,261822,19,59,20,4
20171028,261869,10,12,10,33
20171028,262766,7,47,8,4
20171028,263159,18,49,18,52
20171028,263182,16,32,16,55
20171028,263506,8,34,8,38
20171028,264515,15,12,15,21
20171028,264733,17,6,17,26
20171028,265747,8,4,9,24
20171028,266735,9,25,10,9
20171028,268335,20,11,20,20
20171028,268721,15,16,15,23
20171028,269103,21,40,21,46
20171028,269118,9,55,10,11
20171028,269390,22,47,23,0
20171028,269757,13,38,13,47
20171028,271383,10,46,11,35
20171028,271788,10,26,10,34
20171028,272221,11,19,11,28
20171028,272726,10,23,10,38
20171028,273166,8,50,9,33
20171028,273565,8,9,8,17
20171028,274631,11,30,11,35
20171028,274905,1,24,1,30
20171028,275928,12,36,13,10
20171028,277042,6,56,7,6
20171028,277333,7,1,7,11
20171028,277963,14,19,14,30
20171028,278062,9,49,9,57
20171028,278301,18,26,18,28
20171028,279114,12,3,12,10
20171028,280806,9,44,9,54
20171028,281021,9,32,9,37
20171028,281724,9,57,10,7
20171028,282029,10,19,10,29
20171028,282401,7,3,7,12
20171028,282808,9,32,9,37
20171028,284200,8,37,8,53
20171028,284303,6,5,6,16
20171028,284328,10,45,10,48
20171028,285910,9,53,10,3
20171028,286773,15,17,15,23
20171028,286794,10,38,10,59
20171028,287163,23,54,23,58
20171028,287724,11,2,11,8
20171028,288254,7,50,7,59
20171028,288457,15,43,16,29
20171028,288496,8,49,9,1
20171028,289167,12,5,12,17
20171028,289974,9,47,9,57
20171028,292627,8,20,8,32
20171028,292802,11,38,11,43
20171028,293944,8,19,8,29
20171028,294640,23,29,23,38
20171028,294913,15,35,15,43
20171028,295071,11,56,11,57
20171028,295236,15,17,15,19
20171028,296693,15,48,15,55
20171028,296834,9,9,9,38
20171028,297656,9,46,10,27
20171028,297904,21,58,22,14
20171028,299667,7,57,8,13
20171028,299788,8,39,8,40
20171028,303253,6,36,6,41
20171028,305353,9,56,10,28
20171028,306122,13,41,13,43
20171028,306688,13,29,13,31
20171028,308472,12,50,13,12
20171028,308700,6,38,7,1
20171028,309517,10,58,11,4
20171028,309791,15,14,15,21
20171028,311845,18,34,18,49
20171028,312101,10,5,10,26
20171028,312446,14,41,14,56
20171028,312884,9,4,9,33
20171028,313461,9,2,9,5
20171028,314161,10,7,10,37
20171028,314671,8,8,8,42
20171028,316143,11,16,11,35
20171028,316361,16,4,16,44
20171028,316903,9,53,10,17
20171028,317085,8,19,8,27
20171028,318096,5,30,6,24
20171028,318973,7,25,8,12
20171028,318987,12,55,13,0
20171028,319950,14,26,14,42
20171028,320247,15,17,15,44
20171028,320522,8,10,8,18
20171028,321167,16,46,16,59
20171028,321221,23,27,23,32
20171028,321538,9,47,10,1
20171028,321827,9,44,10,26
20171028,322820,11,9,11,43
20171028,322836,10,47,10,53
20171028,323272,9,20,9,30
20171028,323385,10,2,10,10
20171028,324386,12,1,12,22
20171028,326015,9,20,9,56
20171028,327338,11,51,12,31
20171028,327454,12,25,12,31
20171028,328812,7,42,7,57
20171028,329199,8,31,8,50
20171028,329705,13,22,13,42
20171028,332891,12,39,12,47
20171028,333168,6,58,7,6
20171028,333171,14,31,14,51
20171028,334364,13,21,13,24
20171028,335098,13,41,13,50
20171028,337544,17,42,17,53
20171028,338739,16,3,16,14
20171028,338787,12,52,13,1
20171028,339246,7,26,7,48
20171028,339419,11,2,11,34
20171028,339749,9,27,9,38
20171028,340760,15,9,15,11
20171028,342036,16,17,16,34
20171028,342417,9,35,9,42
20171028,344471,8,34,8,43
20171028,344566,7,47,7,50
20171028,347682,10,49,10,57
20171028,347701,19,29,19,34
20171028,348737,13,49,14,2
20171028,348888,22,23,22,31
20171028,349445,12,40,12,45
20171028,350303,14,38,15,28
20171028,352761,17,45,17,53
20171028,353546,10,10,10,20
20171028,353810,8,29,9,36
20171028,353895,9,4,9,31
20171028,356770,7,0,7,16
20171028,357452,9,6,9,16
20171028,357723,15,17,15,26
20171028,357923,9,34,9,44
20171028,358167,15,0,15,6
20171028,358372,11,14,11,21
20171028,359991,8,36,9,46
20171028,361086,18,9,18,13
20171028,361130,14,8,14,27
20171028,362926,10,39,10,45
20171028,364530,15,41,15,42
20171028,364769,11,48,11,53
20171028,365715,13,54,13,57
20171028,366644,10,55,11,13
20171028,366877,12,20,12,33
20171028,367470,8,33,9,18
20171028,369006,9,29,10,0
20171028,369042,17,33,17,37
20171028,369117,16,38,16,42
20171028,371096,16,40,16,55
20171028,372997,7,51,8,21
20171028,373786,9,55,10,26
20171028,373826,9,49,9,53
20171028,373914,9,10,10,26
20171028,374367,6,36,6,45
20171028,374462,16,19,16,23
20171028,375591,11,25,11,32
20171028,376805,15,39,15,51
20171028,378144,23,31,23,37
20171028,378502,10,1,10,5
20171028,378546,0,44,0,52
20171028,379816,16,54,18,17
20171028,380062,13,53,14,12
20171028,380113,10,33,10,57
20171028,382321,9,7,11,2
20171028,383454,14,57,15,28
20171028,383640,19,20,19,24
20171028,384225,17,21,17,24
20171028,385258,11,25,11,54
20171028,385327,10,47,10,52
20171028,387476,8,27,8,36
20171028,388598,10,2,10,8
20171028,388655,12,41,12,48
20171028,389022,23,44,23,53
20171028,390471,15,25,15,31
20171028,390774,13,11,13,21
20171028,390786,10,35,11,42
20171028,391339,11,59,12,3
20171028,391397,6,39,6,43
20171028,394100,15,1,15,5
20171028,394681,9,5,9,6
20171028,394854,10,12,10,44
20171028,395789,14,31,14,37
20171028,395991,7,54,9,0
20171028,396240,14,27,14,32
20171028,397622,18,52,18,53
20171028,399224,23,4,23,11
20171028,399391,8,6,8,45
20171028,401971,12,52,13,2
20171028,402451,9,0,9,33
20171028,402883,0,38,0,45
20171028,403223,10,50,11,3
20171028,403296,6,4,6,10
20171028,404253,5,36,5,53
20171028,404367,7,49,8,20
20171028,404527,19,52,20,28
20171028,404961,11,28,11,39
20171028,405129,7,59,8,0
20171028,405504,19,41,19,54
20171028,405965,8,26,8,49
20171028,408713,15,5,15,19
20171028,409377,18,57,19,29
20171028,410570,9,37,10,9
20171028,410575,15,55,16,5
20171028,412438,21,40,21,53
20171028,412894,12,22,12,25
20171028,412905,17,41,17,52
20171028,413259,12,11,12,23
20171028,413329,10,49,11,21
20171028,415802,8,30,8,38
20171028,416065,19,9,19,13
20171028,417125,17,39,17,40
20171028,419579,13,6,13,25
20171028,419792,20,41,20,47
20171028,421602,9,8,9,55
20171028,422188,8,3,8,25
20171028,423203,17,41,17,47
20171028,424256,11,35,11,55
20171028,424477,10,4,10,5
20171028,424979,11,51,11,59
20171028,425317,6,39,7,17
20171028,425330,11,15,11,20
20171028,426168,8,13,8,24
20171028,426940,10,14,10,17
20171028,428424,9,36,10,2
20171028,428650,8,36,8,45
20171028,428878,13,15,13,22
20171028,432681,13,31,13,40
20171028,432722,9,14,9,27
20171028,434130,10,9,10,36
20171028,434308,17,57,18,20
20171028,434355,8,18,8,25
20171028,434526,16,36,17,24
20171028,434848,15,0,15,6
20171028,439381,8,16,8,33
20171028,439705,12,46,12,52
20171028,440495,9,53,10,3
20171028,441204,11,39,11,40
20171028,441369,5,7,5,47
20171028,442179,6,40,6,44
20171028,445540,7,52,7,55
20171028,446159,15,38,15,52
20171028,447020,8,7,8,14
20171028,447171,17,26,17,32
20171028,447641,5,40,6,31
20171028,447749,9,51,10,1
20171028,448191,18,13,19,16
20171028,451771,8,21,8,22
20171028,451971,8,47,8,57
20171028,452986,21,25,21,32
20171028,453292,11,27,11,29
20171028,455481,9,31,10,10
20171028,456585,8,15,8,30
20171028,457791,21,36,21,59
20171028,458492,12,23,12,34
20171028,460501,18,31,18,48
20171028,460935,10,9,10,51
20171028,461292,7,46,8,55
20171028,462544,6,46,7,13
20171028,464391,8,15,9,17
20171028,464487,8,16,8,40
20171028,465273,9,2,9,30
20171028,465612,7,14,7,29
20171028,466588,6,19,6,31
20171028,467599,6,7,6,41
20171028,467911,8,38,8,49
20171028,468344,9,50,10,0
20171028,468538,0,45,0,51
20171028,468897,11,51,11,59
20171028,469360,7,21,7,39
20171028,469374,13,52,14,3
20171028,470845,7,51,8,2
20171028,470928,18,49,19,24
20171028,471142,8,59,9,34
20171028,471427,19,21,19,24
20171028,471457,12,14,12,40
20171028,471932,10,13,10,52
20171028,472145,17,22,17,51
20171028,472258,2,36,3,35
20171028,473815,11,53,12,10
20171028,474824,9,44,9,51
20171028,475484,10,53,11,13
20171028,475888,10,13,10,48
20171028,476510,2,17,2,25
20171028,477155,22,56,23,8
20171028,478673,16,30,16,35
20171028,478794,15,58,16,4
20171028,479220,12,31,12,34
20171028,479492,21,2,21,11
20171028,479851,7,44,8,36
20171028,480181,7,50,8,8
20171028,482375,9,4,9,16
20171028,483979,6,32,7,9
20171028,484486,7,22,7,31
20171028,485117,14,41,14,44
20171028,485587,11,57,12,10
20171028,486139,20,36,20,39
20171028,486460,9,46,9,59
20171028,487058,23,20,23,26
20171028,487731,8,17,8,18
20171028,488095,20,45,20,50
20171028,489106,8,21,9,19
20171028,490866,23,5,23,14
20171028,491262,7,57,8,0
20171028,491693,0,0,0,16
20171028,492751,7,43,7,53
20171028,493329,9,10,9,24
20171028,493378,20,53,20,59
20171028,493885,17,6,17,42
20171028,494414,8,1,10,4
20171028,494927,11,15,12,1
20171028,495523,14,1,14,27
20171028,497399,19,34,19,49
20171028,497593,8,32,8,43
20171028,498134,3,12,3,20
20171028,499369,17,31,18,15
20171028,500246,9,17,9,24
20171028,500617,11,21,11,33
20171028,501537,10,37,10,39
20171028,501806,19,41,20,18
20171028,504030,14,2,14,9
20171028,504130,18,54,19,0
20171028,504764,12,45,12,48
20171028,505727,16,33,16,42
20171028,506312,16,1,16,36
20171028,509404,8,32,8,54
20171028,512263,6,6,6,18
20171028,515197,7,26,7,41
20171028,516772,7,20,7,21
20171028,516956,10,40,11,0
20171028,518206,11,13,11,14
20171028,518478,12,48,13,22
20171028,518676,8,59,9,30
20171028,518763,14,35,14,36
20171028,518830,7,51,8,25
20171028,519298,10,23,10,26
20171028,520153,12,7,12,12
20171028,520377,8,44,8,47
20171028,521133,9,1,9,4
20171028,521536,20,50,21,13
20171028,522087,20,18,20,37
20171028,522724,8,35,9,8
20171028,523312,8,30,8,34
20171028,523761,19,17,19,25
20171028,524285,18,7,18,10
20171028,524828,15,6,15,12
20171028,525215,7,43,7,52
20171028,525781,11,38,11,48
20171028,526878,7,39,9,4
20171028,528025,9,20,10,17
20171028,528201,10,44,10,48
20171028,528271,7,15,7,50
20171028,528589,13,37,14,6
20171028,529091,21,5,21,11
20171028,529425,8,31,8,35
20171028,530275,14,58,15,1
20171028,530669,10,13,10,21
20171028,532651,15,9,15,22
20171028,533075,21,41,21,42
20171028,534217,7,56,8,12
20171028,534305,7,15,7,20
20171028,536175,22,15,22,25
20171028,537478,23,26,23,32
20171028,537879,7,50,8,0
20171028,538285,9,1,9,5
20171028,538959,11,56,12,25
20171028,539404,23,11,23,16
20171028,540241,10,22,10,34
20171028,540459,21,21,21,47
20171028,540893,19,33,20,14
20171028,540961,12,34,12,37
20171028,543472,17,3,17,4
20171028,543754,10,37,11,12
20171028,546411,8,46,8,51
20171028,546511,10,4,10,37
20171028,546762,22,48,22,50
20171028,547622,8,5,8,42
20171028,549161,8,33,8,35
20171028,552325,19,18,19,22
20171028,552486,15,16,15,19
20171028,552527,21,38,21,54
20171028,553349,20,43,21,6
20171028,554367,18,11,18,15
20171028,555049,10,13,10,25
20171028,555695,7,57,8,8
20171028,555722,11,38,11,50
20171028,555910,10,3,10,8
20171028,555969,15,20,15,25
20171028,556074,12,51,13,37
20171028,556667,8,0,8,6
20171028,557172,12,46,12,58
20171028,557837,8,30,8,45
20171028,558037,10,3,10,12
20171028,559381,9,46,9,58
20171028,560253,15,51,16,33
20171028,560798,12,53,13,14
20171028,561981,7,13,7,16
20171028,562307,9,18,9,36
20171028,563397,18,52,19,3
20171028,563806,17,10,17,11
20171028,563817,16,56,16,59
20171028,564934,11,9,11,12
20171028,568809,11,18,11,29
20171028,569482,18,21,18,22
20171028,569632,22,36,22,40
20171028,569971,1,8,1,31
20171028,571659,20,19,20,28
20171028,572930,5,45,5,56
20171028,573635,8,0,8,16
20171028,574065,9,41,10,1
20171028,575156,9,3,9,7
20171028,575269,10,36,10,46
20171028,575512,18,19,18,34
20171028,575751,18,38,18,48
20171028,576161,14,20,14,46
20171028,577114,8,56,8,59
20171028,577720,18,17,18,28
20171028,577969,9,42,9,59
20171028,578102,8,15,8,29
20171028,579185,15,52,16,46
20171028,579851,10,0,10,6
20171028,581733,8,16,8,52
20171028,581987,5,20,5,33
20171028,583669,23,27,23,37
20171028,584037,17,26,18,12
20171028,584623,9,55,10,4
20171028,585766,2,18,2,24
20171028,586370,15,14,15,34
20171028,587260,20,22,20,31
20171028,587654,13,31,13,52
20171028,587681,9,32,10,4
20171028,587756,0,41,0,49
20171028,588101,10,35,11,1
20171028,589673,8,17,8,47
20171028,591194,9,23,9,28
20171028,591588,10,3,10,23
20171028,591928,9,12,9,42
20171028,592293,10,31,11,29
20171028,592981,1,19,1,29
20171028,593736,6,11,6,21
20171028,596069,16,41,16,44
20171028,599134,8,43,9,5
20171028,599928,21,4,21,12
20171028,599959,13,9,13,18
20171028,599975,9,7,9,35
20171028,600443,13,13,13,20
20171028,600957,22,27,22,36
20171028,601362,9,56,10,3
20171028,601369,7,42,8,22
20171028,602054,22,17,22,30
20171028,602285,10,55,11,3
20171028,603941,9,57,10,1
20171028,604115,10,46,11,5
20171028,606241,22,57,23,4
20171028,607663,9,9,10,26
20171028,608657,0,3,0,11
20171028,608724,8,47,9,4
20171028,609164,11,16,11,24
20171028,609652,12,19,12,32
20171028,610337,19,2,19,15
20171028,611584,9,11,9,16
20171028,611736,18,59,19,5
20171028,612580,16,58,17,6
20171028,613199,9,2,9,11
20171028,613348,22,14,22,26
20171028,613374,16,51,17,10
20171028,613760,16,40,16,45
20171028,614807,7,28,8,43
20171028,617459,7,18,7,30
20171028,618354,13,23,13,26
20171028,619253,20,20,20,21
20171028,619317,13,19,13,48
20171028,620804,7,27,7,41
20171028,621811,14,26,14,41
20171028,621824,9,18,9,20
20171028,621839,15,4,15,10
20171028,622485,16,53,16,59
20171028,623098,8,29,8,39
20171028,624913,8,3,8,20
20171028,626092,0,0,0,1
20171028,626435,22,25,23,29
20171028,627016,16,30,16,44
20171028,629763,14,37,14,41
20171028,630497,7,59,8,25
20171028,632178,11,18,11,36
20171028,633155,8,3,9,26
20171028,635466,19,49,19,56
20171028,635516,22,35,22,42
20171028,635677,1,39,1,47
20171028,636281,7,48,8,26
20171028,636672,13,11,13,13
20171028,636682,6,17,6,43
20171028,636955,15,15,15,28
20171028,637264,17,53,17,59
20171028,638343,8,13,8,21
20171028,639352,20,23,20,28
20171028,640330,9,0,9,35
20171028,641134,7,11,7,41
20171028,641258,11,28,11,48
20171028,643757,20,42,20,54
20171028,643984,20,31,20,49
20171028,644121,9,27,9,45
20171028,644574,6,15,6,41
20171028,646019,18,1,18,6
20171028,646182,10,41,10,49
20171028,646256,16,47,16,48
20171028,648480,15,39,16,1
20171028,648656,23,13,23,17
20171028,649178,19,15,19,26
20171028,650793,10,33,11,4
20171028,650983,0,35,0,41
20171028,651743,11,29,11,31
20171028,651799,15,39,15,40
20171028,651802,11,53,12,0
20171028,652229,0,0,0,15
20171028,652388,0,43,0,56
20171028,652634,15,6,15,10
20171028,653127,7,15,7,22
20171028,654105,7,45,8,54
20171028,654123,16,59,17,3
20171028,654772,0,6,0,8
20171028,656836,11,2,11,10
20171028,656849,9,41,10,7
20171028,657292,15,1,15,2
20171028,658371,14,46,14,51
20171028,659640,16,14,16,22
20171028,659651,8,47,10,5
20171028,660556,12,59,13,14
20171028,661381,13,2,13,23
20171028,661684,13,1,13,3
20171028,661705,9,50,10,3
20171028,661937,9,17,9,24
20171028,662088,9,0,9,13
20171028,662140,18,25,18,31
20171028,662239,9,5,9,31
20171028,662363,19,18,19,26
20171028,663656,18,11,18,19
20171028,664020,8,5,8,22
20171028,664539,12,47,12,51
20171028,665084,14,17,14,20
20171028,667439,22,7,22,21
20171028,667999,8,24,8,28
20171028,669852,21,23,21,29
20171028,670555,21,53,21,58
20171028,670883,13,59,14,2
20171028,670984,17,25,17,29
20171028,670989,10,55,10,56
20171028,671628,18,3,18,12
20171028,672183,18,31,18,33
20171028,672266,10,34,10,49
20171028,672528,8,30,8,39
20171028,672563,2,10,2,11
20171028,672612,20,17,20,18
20171028,672712,18,49,19,16
20171028,673153,11,23,11,26
20171028,673418,0,0,0,10
20171028,673591,10,21,11,7
20171028,674436,8,47,8,55
20171028,675013,8,43,10,19
20171028,675460,21,0,21,6
20171028,675491,7,1,7,10
20171028,676065,16,16,16,24
20171028,676158,7,35,7,47
20171028,676280,15,4,15,6
20171028,676845,12,20,12,25
20171028,677186,15,14,15,18
20171028,677199,12,27,12,32
20171028,677252,14,47,15,14
20171028,677400,9,17,9,57
20171028,677713,14,49,15,9
20171028,677973,19,55,20,1
20171028,678678,13,56,13,58
20171029,21156,17,44,18,1
20171029,21940,14,40,15,1
20171029,29943,7,13,8,1
20171029,33685,6,30,7,16
20171029,34187,9,45,10,31
20171029,38790,14,59,15,2
20171029,40659,10,22,10,56
20171029,42188,17,40,17,46
20171029,45352,2,36,2,50
20171029,46172,12,51,12,56
20171029,46415,14,0,14,28
20171029,51195,3,48,4,1
20171029,52868,6,59,7,40
20171029,57778,11,10,11,19
20171029,58474,7,44,8,1
20171029,58567,15,0,15,2
20171029,59979,9,11,9,45
20171029,70047,8,19,8,27
20171029,71122,10,16,10,58
20171029,71879,17,19,17,36
20171029,73032,7,31,7,47
20171029,73201,16,50,17,42
20171029,74118,8,29,8,33
20171029,75599,11,42,11,50
20171029,77556,6,13,7,38
