,user_id,connection_start_datetime,connection_end_datetime,active_hour_int,date_str,day_date,year_num,month_num,week_of_year_num,day_num,day_of_week,day_of_week_name
48,71356,2017-10-28 09:54,2017-10-28 10:20,10,20171028,2017-10-28,2017,10,43,28,6,Saturday
49,71952,2017-10-28 08:53,2017-10-28 09:22,8,20171028,2017-10-28,2017,10,43,28,6,Saturday
50,71952,2017-10-28 08:53,2017-10-28 09:22,9,20171028,2017-10-28,2017,10,43,28,6,Saturday
51,72788,2017-10-28 08:00,2017-10-28 08:07,8,20171028,2017-10-28,2017,10,43,28,6,Saturday
52,73284,2017-10-28 15:47,2017-10-28 15:58,15,20171028,2017-10-28,2017,10,43,28,6,Saturday
53,74400,2017-10-28 13:37,2017-10-28 13:41,13,20171028,2017-10-28,2017,10,43,28,6,Saturday
54,75372,2017-10-28 18:03,2017-10-28 19:01,18,20171028,2017-10-28,2017,10,43,28,6,Saturday
55,75372,2017-10-28 18:03,2017-10-28 19:01,19,20171028,2017-10-28,2017,10,43,28,6,Saturday
56,75756,2017-10-28 10:44,2017-10-28 10:51,10,20171028,2017-10-28,2017,10,43,28,6,Saturday
57,76777,2017-10-28 14:18,2017-10-28 14:20,14,20171028,2017-10-28,2017,10,43,28,6,Saturday
58,77156,2017-10-28 08:29,2017-10-28 08:59,8,20171028,2017-10-28,2017,10,43,28,6,Saturday
59,77556,2017-10-28 05:24,2017-10-28 05:37,5,20171028,2017-10-28,2017,10,43,28,6,Saturday
60,77682,2017-10-28 15:30,2017-10-28 15:47,15,20171028,2017-10-28,2017,10,43,28,6,Saturday
61,77713,2017-10-28 15:45,2017-10-28 16:29,15,20171028,2017-10-28,2017,10,43,28,6,Saturday
62,77713,2017-10-28 15:45,2017-10-28 16:29,16,20171028,2017-10-28,2017,10,43,28,6,Saturday
63,77818,2017-10-28 17:31,2017-10-28 18:02,17,20171028,2017-10-28,2017,10,43,28,6,Saturday
64,77818,2017-10-28 17:31,2017-10-28 18:02,18,20171028,2017-10-28,2017,10,43,28,6,Saturday
65,77883,2017-10-28 08:06,2017-10-28 08:34,8,20171028,2017-10-28,2017,10,43,28,6,Saturday
66,80443,2017-10-28 13:29,2017-10-28 13:47,13,20171028,2017-10-28,2017,10,43,28,6,Saturday
67,81615,2017-10-28 12:03,2017-10-28 12:11,12,20171028,2017-10-28,2017,10,43,28,6,Saturday
68,82557,2017-10-28 07:55,2017-10-28 08:21,7,20171028,2017-10-28,2017,10,43,28,6,Saturday
